,precision,recall,f1-score,support
negative,0.42718446601941745,0.41904761904761906,0.4230769230769231,105.0
neutral,0.7134146341463414,0.8897338403041825,0.7918781725888325,526.0
positive,0.6626506024096386,0.26066350710900477,0.37414965986394566,211.0
micro avg,0.6733966745843231,0.6733966745843231,0.6733966745843231,842.0
macro avg,0.6010832341917992,0.5231483221536021,0.5297015851765671,842.0
weighted avg,0.6649996954886558,0.6733966745843231,0.6412073324656714,842.0
accuracy,0.6733966745843231,0.6733966745843231,0.6733966745843231,0.6733966745843231
